Date,Price,Open,High,Low,Vol.,Change %
3-Oct-14,"15,708.65",15616.48,"15,708.65","15,559.07",139.69K,0.30%
2-Oct-14,"15,661.99",15895.2,"15,922.51","15,646.40",175.36K,-2.61%
1-Oct-14,"16,082.25",16173.39,"16,225.96","16,081.01",137.09K,-0.56%
30-Sep-14,"16,173.52",16252.72,"16,252.72","16,058.72",152.47K,-0.84%
29-Sep-14,"16,310.64",16339.03,"16,344.32","16,262.00",107.94K,0.50%
26-Sep-14,"16,229.86",16087.95,"16,251.67","16,087.95",127.37K,-0.88%
25-Sep-14,"16,374.14",16327.19,"16,374.14","16,303.91",148.72K,1.28%
24-Sep-14,"16,167.45",16105.56,"16,203.94","16,094.59",133.32K,-0.24%
22-Sep-14,"16,205.90",16281.36,"16,299.13","16,170.11",129.13K,-0.71%
19-Sep-14,"16,321.17",16177.94,"16,364.08","16,170.86",171.32K,1.58%
18-Sep-14,"16,067.57",16036.47,"16,106.11","16,003.46",143.08K,1.13%
17-Sep-14,"15,888.67",15948.15,"15,969.41","15,888.67",114.75K,-0.14%
16-Sep-14,"15,911.53",15896.06,"15,938.31","15,871.12",121.30K,-0.23%
12-Sep-14,"15,948.29",15885.04,"15,984.90","15,885.04",183.36K,0.25%
11-Sep-14,"15,909.20",15880.91,"15,925.51","15,854.30",130.29K,0.76%
10-Sep-14,"15,788.78",15688.55,"15,795.60","15,664.79",109.75K,0.25%
9-Sep-14,"15,749.15",15795.82,"15,795.82","15,736.13",106.11K,0.28%
8-Sep-14,"15,705.11",15718.13,"15,730.33","15,656.40",95.57K,0.23%
5-Sep-14,"15,668.68",15792.64,"15,792.64","15,641.37",109.57K,-0.05%
4-Sep-14,"15,676.18",15701.61,"15,732.76","15,663.59",110.95K,-0.33%
3-Sep-14,"15,728.35",15797.79,"15,829.38","15,723.54",137.77K,0.38%
2-Sep-14,"15,668.60",15526.94,"15,737.36","15,516.50",122.57K,1.24%
1-Sep-14,"15,476.60",15454.59,"15,478.77","15,440.99",74.82K,0.34%
29-Aug-14,"15,424.59",15423.88,"15,447.81","15,356.00",111.03K,-0.23%
28-Aug-14,"15,459.86",15482.27,"15,487.99","15,423.90",99.32K,-0.48%
27-Aug-14,"15,534.82",15556.56,"15,588.22","15,465.99",102.23K,0.09%
26-Aug-14,"15,521.22",15609.64,"15,613.34","15,519.42",86.36K,-0.59%
25-Aug-14,"15,613.25",15609.43,"15,628.61","15,553.51",81.90K,0.48%
22-Aug-14,"15,539.19",15618.05,"15,628.78","15,524.43",102.35K,-0.30%
21-Aug-14,"15,586.20",15530.98,"15,601.99","15,525.78",117.69K,0.85%
20-Aug-14,"15,454.45",15485.93,"15,492.88","15,433.72",92.70K,0.03%
19-Aug-14,"15,449.79",15451.94,"15,476.05","15,429.11",94.21K,0.83%
18-Aug-14,"15,322.60",15318.5,"15,365.35","15,303.39",77.31K,0.03%
15-Aug-14,"15,318.34",15317.15,"15,328.34","15,276.99",88.66K,0.02%
14-Aug-14,"15,314.57",15284.38,"15,338.85","15,272.90",92.73K,0.66%
13-Aug-14,"15,213.63",15111.76,"15,235.90","15,108.53",96.30K,0.35%
12-Aug-14,"15,161.31",15164.73,"15,235.98","15,125.93",89.26K,0.20%
11-Aug-14,"15,130.52",15022.64,"15,161.54","14,973.71",114.56K,2.38%
8-Aug-14,"14,778.37",15063.73,"15,074.32","14,753.84",177.20K,-2.98%
7-Aug-14,"15,232.37",15138.72,"15,243.06","15,061.99",143.07K,0.48%
6-Aug-14,"15,159.79",15260,"15,271.14","15,121.43",135.49K,-1.05%
5-Aug-14,"15,320.31",15506.87,"15,507.32","15,313.84",131.55K,-1.00%
4-Aug-14,"15,474.50",15474.65,"15,535.62","15,440.21",123.63K,-0.31%
1-Aug-14,"15,523.11",15511.54,"15,602.13","15,501.15",143.26K,-0.63%
31-Jul-14,"15,620.77",15732.78,"15,759.66","15,618.85",154.14K,-0.16%
30-Jul-14,"15,646.23",15616.89,"15,666.62","15,594.89",117.50K,0.18%
29-Jul-14,"15,618.07",15564.79,"15,632.70","15,556.02",98.84K,0.57%
28-Jul-14,"15,529.40",15426.98,"15,556.62","15,426.98",115.62K,0.46%
25-Jul-14,"15,457.87",15342.46,"15,457.87","15,341.69",119.90K,1.13%
24-Jul-14,"15,284.42",15350.28,"15,383.11","15,232.14",121.97K,-0.29%
23-Jul-14,"15,328.56",15367.16,"15,376.20","15,317.37",100.11K,-0.10%
22-Jul-14,"15,343.28",15296.42,"15,392.02","15,287.93",115.43K,0.84%
18-Jul-14,"15,215.71",15174.08,"15,220.50","15,110.45",92.21K,-1.01%
17-Jul-14,"15,370.26",15422.87,"15,465.74","15,347.85",102.49K,-0.06%
16-Jul-14,"15,379.30",15369.66,"15,423.96","15,355.00",98.22K,-0.10%
15-Jul-14,"15,395.16",15354.43,"15,441.54","15,346.09",101.00K,0.64%
14-Jul-14,"15,296.82",15199.18,"15,324.95","15,179.49",96.29K,0.88%
11-Jul-14,"15,164.04",15102.59,"15,204.01","15,101.49",123.57K,-0.34%
10-Jul-14,"15,216.47",15318.3,"15,326.78","15,215.43",112.88K,-0.56%
9-Jul-14,"15,302.65",15194.32,"15,302.65","15,185.32",118.30K,-0.08%
8-Jul-14,"15,314.41",15304.27,"15,389.89","15,225.11",117.72K,-0.42%
7-Jul-14,"15,379.44",15433.49,"15,477.77","15,379.44",84.04K,-0.37%
4-Jul-14,"15,437.13",15490.37,"15,490.37","15,420.07",108.85K,0.58%
3-Jul-14,"15,348.29",15435.34,"15,435.34","15,324.32",114.23K,-0.14%
2-Jul-14,"15,369.97",15406.23,"15,444.63","15,354.91",116.83K,0.29%
1-Jul-14,"15,326.20",15179.64,"15,389.08","15,145.87",137.46K,1.08%
30-Jun-14,"15,162.10",15159.45,"15,177.87","15,052.34",102.01K,0.44%
